,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
403,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.,We know one thing.,What have we found out?,"I mean, what was the point of sending us in there?","If Hagrid ever gets out of Azkaban, I'll kill him.",Follow the spiders.,Follow the spiders!
404,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.,We know one thing.,What have we found out?,"I mean, what was the point of sending us in there?","If Hagrid ever gets out of Azkaban, I'll kill him."
405,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.,We know one thing.,What have we found out?,"I mean, what was the point of sending us in there?"
406,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.,We know one thing.,What have we found out?
407,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.,We know one thing.
408,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.,Hagrid never opened the Chamber of Secrets.
409,Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione.",He was innocent.
410,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.,"Wish you were here, Hermione."
411,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.,We need you.
412,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?,Now more than ever.
413,It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.,Ron...,What's that?
414,Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.,This is why Hermione was in the library the day she was attacked.
415,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,Come on.
416,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.
417,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.
418,Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it.",Spiders flee before it.
419,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.,"Ron, this is it."
420,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.,The monster in the Chamber of Secrets is a basilisk.
421,I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.,"But if it kills by looking people in the eye, why is it no one's dead?",It's a snake.,That's why I can hear it speak.
422,The water.,"I'm pretty sure she didn't havea camera or a mirror, HARRY.",And Mrs. Norris?,I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least.",Because no one did look it in the eye.
423,There was water on the floor that night.,The water.,"I'm pretty sure she didn't havea camera or a mirror, HARRY.",And Mrs. Norris?,I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.,"Not directly, at least."
424,She only saw the basilisk's reflection.,There was water on the floor that night.,The water.,"I'm pretty sure she didn't havea camera or a mirror, HARRY.",And Mrs. Norris?,I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.,Colin saw it through his camera.
425,Spiders flee before it.,She only saw the basilisk's reflection.,There was water on the floor that night.,The water.,"I'm pretty sure she didn't havea camera or a mirror, HARRY.",And Mrs. Norris?,I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.,Justin... Justin must have seen the basilisk through Nearly Headless Nick.
426,It all fits.,Spiders flee before it.,She only saw the basilisk's reflection.,There was water on the floor that night.,The water.,"I'm pretty sure she didn't havea camera or a mirror, HARRY.",And Mrs. Norris?,I bet you she was using it to look around corners in case it came along.,And Hermione had the mirror.,"But he's a ghost, he couldn't die again.",Nick got the full blast of it.
427,Hermione's answered that too.,Someone would have seen it.,"A dirty, great snake.",How's a basilisk been getting around?,It all fits.,Spiders flee before it.,She only saw the basilisk's reflection.,There was water on the floor that night.,The water.,"I'm pretty sure she didn't havea camera or a mirror, HARRY.",And Mrs. Norris?
428,Remember what Aragog said about that girl 50 years ago?,Pipes? It's using the plumbing.,Hermione's answered that too.,Someone would have seen it.,"A dirty, great snake.",How's a basilisk been getting around?,It all fits.,Spiders flee before it.,She only saw the basilisk's reflection.,There was water on the floor that night.,The water.
429,She died in a bathroom?,Remember what Aragog said about that girl 50 years ago?,Pipes? It's using the plumbing.,Hermione's answered that too.,Someone would have seen it.,"A dirty, great snake.",How's a basilisk been getting around?,It all fits.,Spiders flee before it.,She only saw the basilisk's reflection.,There was water on the floor that night.
430,What if she never left?,She died in a bathroom?,Remember what Aragog said about that girl 50 years ago?,Pipes? It's using the plumbing.,Hermione's answered that too.,Someone would have seen it.,"A dirty, great snake.",How's a basilisk been getting around?,It all fits.,Spiders flee before it.,She only saw the basilisk's reflection.
431,"Lockhart may be useless, but he's going to try and get into the Chamber.",Ginny.,Her skeleton will lie in the Chamber forever.,Ginny Weasley.,"Who is it that the monster's taken, Minerva?",Getting ready.,I'll just be in my office getting...,Very well.,"Your skills, after all, are legend.","We'll leave you to deal with the monster, Gilderoy.",That's settled. 
432,At least we can tell him what we know.,"Lockhart may be useless, but he's going to try and get into the Chamber.",Ginny.,Her skeleton will lie in the Chamber forever.,Ginny Weasley.,"Who is it that the monster's taken, Minerva?",Getting ready.,I'll just be in my office getting...,Very well.,"Your skills, after all, are legend.","We'll leave you to deal with the monster, Gilderoy."
433,"Professor, we have some information for you.",At least we can tell him what we know.,"Lockhart may be useless, but he's going to try and get into the Chamber.",Ginny.,Her skeleton will lie in the Chamber forever.,Ginny Weasley.,"Who is it that the monster's taken, Minerva?",Getting ready.,I'll just be in my office getting...,Very well.,"Your skills, after all, are legend."
434,Are you going somewhere?,"Professor, we have some information for you.",At least we can tell him what we know.,"Lockhart may be useless, but he's going to try and get into the Chamber.",Ginny.,Her skeleton will lie in the Chamber forever.,Ginny Weasley.,"Who is it that the monster's taken, Minerva?",Getting ready.,I'll just be in my office getting...,Very well.
435,You're running away?,"I must say, when I took the job, there was nothing in the description...",You can't go now.,You're the Defense Against the Dark Arts teacher. ,No one regrets more than I.,"As to that, most unfortunate.",Well… Aemm…,What about my sister?,Got to go.,"Well, yes. Urgent call. Unavoidable.",Are you going somewhere?
436,After all you did in your books?,You're running away?,"I must say, when I took the job, there was nothing in the description...",You can't go now.,You're the Defense Against the Dark Arts teacher. ,No one regrets more than I.,"As to that, most unfortunate.",Well… Aemm…,What about my sister?,Got to go.,"Well, yes. Urgent call. Unavoidable."
437,You wrote them.,Books can be misleading.,After all you did in your books?,You're running away?,"I must say, when I took the job, there was nothing in the description...",You can't go now.,You're the Defense Against the Dark Arts teacher. ,No one regrets more than I.,"As to that, most unfortunate.",Well… Aemm…,What about my sister?
438,You're a fraud.,My books wouldn't have sold as well if people didn't think I'd done those things.,"My dear boy, use your common sense.",You wrote them.,Books can be misleading.,After all you did in your books?,You're running away?,"I must say, when I took the job, there was nothing in the description...",You can't go now.,You're the Defense Against the Dark Arts teacher. ,No one regrets more than I.
439,You've been taking credit for what other wizards have done.,You're a fraud.,My books wouldn't have sold as well if people didn't think I'd done those things.,"My dear boy, use your common sense.",You wrote them.,Books can be misleading.,After all you did in your books?,You're running away?,"I must say, when I took the job, there was nothing in the description...",You can't go now.,You're the Defense Against the Dark Arts teacher. 
440,Don't even think about it.,"In fact, I'm going to have to do the same to you.",I'd never have sold another book.,"Otherwise, all those wizards would have gone blabbing.",I'm rather gifted with Memory Charms.,"Yes, now you mention it.",Is there anything you can do?,You've been taking credit for what other wizards have done.,You're a fraud.,My books wouldn't have sold as well if people didn't think I'd done those things.,"My dear boy, use your common sense."
441,To ask you how you died.,What do you want?,"Hello, HARRY.",Who's there?,Don't even think about it.,"In fact, I'm going to have to do the same to you.",I'd never have sold another book.,"Otherwise, all those wizards would have gone blabbing.",I'm rather gifted with Memory Charms.,"Yes, now you mention it.",Is there anything you can do?
442,"Who was it, Myrtle?","I was crying, and then I heard somebody come in.",I'd hidden because Olive Hornby was teasing me about my glasses.,It happened right here in this very cubicle.,It was dreadful.,To ask you how you died.,What do you want?,"Hello, HARRY.",Who's there?,Don't even think about it.,"In fact, I'm going to have to do the same to you."
443,Just like that? How?,"And I realized it was a boy, so I unlocked the door to tell him to go away and I died.","But they said something funny, a kind of made-up language.",I don't know. I was distraught!,"Who was it, Myrtle?","I was crying, and then I heard somebody come in.",I'd hidden because Olive Hornby was teasing me about my glasses.,It happened right here in this very cubicle.,It was dreadful.,To ask you how you died.,What do you want?
444,This is it.,"I just remember seeing a pair of great, big, yellow eyes over there by that sink.",Just like that? How?,"And I realized it was a boy, so I unlocked the door to tell him to go away and I died.","But they said something funny, a kind of made-up language.",I don't know. I was distraught!,"Who was it, Myrtle?","I was crying, and then I heard somebody come in.",I'd hidden because Olive Hornby was teasing me about my glasses.,It happened right here in this very cubicle.,It was dreadful.
445,"This is it, Ron. I think this is the entrance to the Chamber of Secrets.",This is it.,"I just remember seeing a pair of great, big, yellow eyes over there by that sink.",Just like that? How?,"And I realized it was a boy, so I unlocked the door to tell him to go away and I died.","But they said something funny, a kind of made-up language.",I don't know. I was distraught!,"Who was it, Myrtle?","I was crying, and then I heard somebody come in.",I'd hidden because Olive Hornby was teasing me about my glasses.,It happened right here in this very cubicle.
446,"Yes, there is.",There's no need for me to stay.,"Well, then, I'll just be...","Excellent, HARRY. Good work.",HARRY say something in Parseltongue!,Say something. ,"This is it, Ron. I think this is the entrance to the Chamber of Secrets.",This is it.,"I just remember seeing a pair of great, big, yellow eyes over there by that sink.",Just like that? How?,"And I realized it was a boy, so I unlocked the door to tell him to go away and I died."
447,You first.,"Yes, there is.",There's no need for me to stay.,"Well, then, I'll just be...","Excellent, HARRY. Good work.",HARRY say something in Parseltongue!,Say something. ,"This is it, Ron. I think this is the entrance to the Chamber of Secrets.",This is it.,"I just remember seeing a pair of great, big, yellow eyes over there by that sink.",Just like that? How?
448,All right. Let's go.,It's really quite filthy down here.,Sure you don't want to test it first?,"But... Obviously, yes.",Better you than us.,"Now, boys, what good will it do?",You first.,"Yes, there is.",There's no need for me to stay.,"Well, then, I'll just be...","Excellent, HARRY. Good work."
449,"Thanks, Myrtle.","If you die down there, you're welcome to share my toilet.","Oh, HARRY?",All right. Let's go.,It's really quite filthy down here.,Sure you don't want to test it first?,"But... Obviously, yes.",Better you than us.,"Now, boys, what good will it do?",You first.,"Yes, there is."
450,"Now, remember: Any sign of movement, close your eyes straightaway.","Thanks, Myrtle.","If you die down there, you're welcome to share my toilet.","Oh, HARRY?",All right. Let's go.,It's really quite filthy down here.,Sure you don't want to test it first?,"But... Obviously, yes.",Better you than us.,"Now, boys, what good will it do?",You first.
451,This way.,Go on.,"Now, remember: Any sign of movement, close your eyes straightaway.","Thanks, Myrtle.","If you die down there, you're welcome to share my toilet.","Oh, HARRY?",All right. Let's go.,It's really quite filthy down here.,Sure you don't want to test it first?,"But... Obviously, yes.",Better you than us.
452,It's a snake skin.,It looks like a snake.,What's this?,This way.,Go on.,"Now, remember: Any sign of movement, close your eyes straightaway.","Thanks, Myrtle.","If you die down there, you're welcome to share my toilet.","Oh, HARRY?",All right. Let's go.,It's really quite filthy down here.
453,"Ron! Ron, are you okay?",HARRY! HARRY,Obliviate!,Say goodbye to your memories.,"So...You first, Mr. Potter.",How you two tragically lost your minds at the sight of her mangled body.,How I was too late to save the girl.,The world will know our story.,But don't fret.,"The adventure ends here, boys.","Heart of a lion, this one."
454,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?,No.,Do you live here?,"It's an odd sort of place, isn't it?",He hasn't got a clue who he is.,Lockhart's Memory Charm backfired.,And who am I?,Really?,Ron Weasley.
455,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?,No.,Do you live here?,"It's an odd sort of place, isn't it?",He hasn't got a clue who he is.,Lockhart's Memory Charm backfired.,And who am I?,Really?
456,"Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?,No.,Do you live here?,"It's an odd sort of place, isn't it?",He hasn't got a clue who he is.,Lockhart's Memory Charm backfired.
457,"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?,No.,Do you live here?,"It's an odd sort of place, isn't it?",He hasn't got a clue who he is.
458,Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?,No.,Do you live here?,"It's an odd sort of place, isn't it?"
459,Tom. Tom Riddle.,She won't wake.,Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?,No.
460,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.,Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?,Really?
461,She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.,Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.,You wait here and try and shift some of this rock so we can get back through.,What do I do now?
462,Are you a ghost?,"She's still alive, but only just.",She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.,Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead.",Okay.,I'll go on and find Ginny.
463,She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?,"She's still alive, but only just.",She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.,Please wake up.,"Wake up, wake up.","Ginny! Ginny, please don't be dead."
464,"Ginny, please don't be dead. Wake up.",She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?,"She's still alive, but only just.",She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.,Please wake up.,"Wake up, wake up."
465,"You've got to help me, Tom.","Ginny, please don't be dead. Wake up.",She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?,"She's still alive, but only just.",She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.,Please wake up.
466,There's a basilisk.,"You've got to help me, Tom.","Ginny, please don't be dead. Wake up.",She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?,"She's still alive, but only just.",She's not...?,"What do you mean, she won't wake?",Tom. Tom Riddle.,She won't wake.
467,"Give me my wand, Tom.",It won't come until it's called.,There's a basilisk.,"You've got to help me, Tom.","Ginny, please don't be dead. Wake up.",She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?,"She's still alive, but only just.",She's not...?,"What do you mean, she won't wake?"
468,We've got to go. We've got to save her.,You won't be needing it.,"Give me my wand, Tom.",It won't come until it's called.,There's a basilisk.,"You've got to help me, Tom.","Ginny, please don't be dead. Wake up.",She's cold as ice.,A memory preserved in a diary for 50 years.,Are you a ghost?,"She's still alive, but only just."
469,No. She couldn't. She wouldn't.,"Yes, HARRY, it was Ginny Weasley who opened the Chamber of Secrets.","You see, as poor Ginny grows weaker, I grow stronger.",I'm afraid I can't do that.,We've got to go. We've got to save her.,You won't be needing it.,"Give me my wand, Tom.",It won't come until it's called.,There's a basilisk.,"You've got to help me, Tom.","Ginny, please don't be dead. Wake up."
470,But why?,It was Ginny who set the basilisk on the Mudbloods and Filch's cat Ginny who wrote the threatening messages on the walls.,No. She couldn't. She wouldn't.,"Yes, HARRY, it was Ginny Weasley who opened the Chamber of Secrets.","You see, as poor Ginny grows weaker, I grow stronger.",I'm afraid I can't do that.,We've got to go. We've got to save her.,You won't be needing it.,"Give me my wand, Tom.",It won't come until it's called.,There's a basilisk.
471,And why did you want to meet me?,The very person I was most anxious to meet.,And then who should find it but you?,She tried to dispose of it in the girls' bathroom.,"Still, the power of the diary began to scare her.","She was, shall we say, in a kind of trance.",Not that she knew what she was doing.,You'll find I can be very persuasive.,Because I told her to.,But why?,It was Ginny who set the basilisk on the Mudbloods and Filch's cat Ginny who wrote the threatening messages on the walls.
472,Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.,"I knew I had to talk to you, meet you if I could.",And why did you want to meet me?,The very person I was most anxious to meet.,And then who should find it but you?,She tried to dispose of it in the girls' bathroom.,"Still, the power of the diary began to scare her.","She was, shall we say, in a kind of trance.",Not that she knew what she was doing.,You'll find I can be very persuasive.
473,"And you framed him, didn't you?",Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.,"I knew I had to talk to you, meet you if I could.",And why did you want to meet me?,The very person I was most anxious to meet.,And then who should find it but you?,She tried to dispose of it in the girls' bathroom.,"Still, the power of the diary began to scare her.","She was, shall we say, in a kind of trance.",Not that she knew what she was doing.
474,I'll bet Dumbledore saw right through you.,Only Dumbledore seemed to think he was innocent.,It was my word against Hagrid's.,"And you framed him, didn't you?",Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.,"I knew I had to talk to you, meet you if I could.",And why did you want to meet me?,The very person I was most anxious to meet.,And then who should find it but you?,She tried to dispose of it in the girls' bathroom.
475,"Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work., I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day,He certainly kept an annoyingly close watch on me after that.,I'll bet Dumbledore saw right through you.,Only Dumbledore seemed to think he was innocent.,It was my word against Hagrid's.,"And you framed him, didn't you?",Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.,"I knew I had to talk to you, meet you if I could."
476,"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work., I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day,He certainly kept an annoyingly close watch on me after that.,I'll bet Dumbledore saw right through you.,Only Dumbledore seemed to think he was innocent.,It was my word against Hagrid's.,"And you framed him, didn't you?",Hagrid's my friend.,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.
477,And everyone who was Petrified will be all right again.,"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work., I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day,He certainly kept an annoyingly close watch on me after that.,I'll bet Dumbledore saw right through you.,Only Dumbledore seemed to think he was innocent.,It was my word against Hagrid's.,"And you framed him, didn't you?",Hagrid's my friend.
478,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?,"For many months now, my new target has been you.",Haven't I told you? Killing Mudbloods doesn't matter to me anymore.,And everyone who was Petrified will be all right again.,"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work., I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day,He certainly kept an annoyingly close watch on me after that.
479,Voldemort was after your time.,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?,"For many months now, my new target has been you.",Haven't I told you? Killing Mudbloods doesn't matter to me anymore.,And everyone who was Petrified will be all right again.,"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time.",I would be able to lead another to finish Salazar Slytherin's noble work., I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day
480,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?,"For many months now, my new target has been you.",Haven't I told you? Killing Mudbloods doesn't matter to me anymore.,And everyone who was Petrified will be all right again.,"In a few hours, the Mandrake Draught will be ready.","Well, you haven't finished it this time."
481,You're Voldemort.,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?,"For many months now, my new target has been you.",Haven't I told you? Killing Mudbloods doesn't matter to me anymore.,And everyone who was Petrified will be all right again.,"In a few hours, the Mandrake Draught will be ready."
482,Albus Dumbledore is the greatest sorcerer in the world.,"No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.",Surely you didn't think .I was going to keep my filthy Muggle father's name?,You're Voldemort.,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?,"For many months now, my new target has been you."
483,He'll never be gone. ,Dumbledore's been driven out of this castle by the mere memory of me.,Albus Dumbledore is the greatest sorcerer in the world.,"No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.",Surely you didn't think .I was going to keep my filthy Muggle father's name?,You're Voldemort.,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.,Why do you care how I escaped?,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?
484,Not as long as those who remain are loyal to him.,He'll never be gone. ,Dumbledore's been driven out of this castle by the mere memory of me.,Albus Dumbledore is the greatest sorcerer in the world.,"No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.",Surely you didn't think .I was going to keep my filthy Muggle father's name?,You're Voldemort.,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.,Why do you care how I escaped?
485,Fawkes?,Not as long as those who remain are loyal to him.,He'll never be gone. ,Dumbledore's been driven out of this castle by the mere memory of me.,Albus Dumbledore is the greatest sorcerer in the world.,"No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.",Surely you didn't think .I was going to keep my filthy Muggle father's name?,You're Voldemort.,You. You're the Heir of Slytherin.,"Voldemort is my past, present and future.",Voldemort was after your time.
486,Ginny?,Lord Voldemort will return .very much alive.,"In a few minutes, Ginny Weasley will be dead, and I will cease to be a memory.",The process is nearly complete.,"Yes, Potter.","No! Your bird may have blinded the basilisk, but it can still hear you.",It only obeys me.,"Parseltongue won't save you now, Potter. ","Let's match the power of Lord Voldemort, Heir of Salazar Slytherin against the famous HARRY Potter.",A songbird and an old hat.,So this is what Dumbledore sends his great defender.
487,Ginny?,Stop. No!,What are you doing?,"Funny, the damage a silly little book can do especially in the hands of a silly little girl.","You'll be with your dear Mudblood mother soon, HARRY.",I'd guess you have little more than a minute to live.,"Remarkable, isn't it? how quickly the venom of the basilisk penetrates the body?",Ginny?,Lord Voldemort will return .very much alive.,"In a few minutes, Ginny Weasley will be dead, and I will cease to be a memory.",The process is nearly complete.
488,Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me.",Ginny?,Stop. No!,What are you doing?,"Funny, the damage a silly little book can do especially in the hands of a silly little girl.","You'll be with your dear Mudblood mother soon, HARRY.",I'd guess you have little more than a minute to live.
489,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me.",Ginny?,Stop. No!,What are you doing?,"Funny, the damage a silly little book can do especially in the hands of a silly little girl.","You'll be with your dear Mudblood mother soon, HARRY."
